id,rank,value,grade,category,year,type
Detroit,36,D,D,7,2012,grade
Detroit,19,B-,B-,8,2012,grade
Detroit,22,C+,C+,9,2012,grade
Detroit,31,D+,D+,10,2012,grade
Detroit,24,C,C,11,2012,grade
Detroit,34,D,D,12,2012,grade
Houston,9,A-,A-,1,2012,grade
Houston,19,B-,B-,2,2012,grade
Houston,15,B,B,3,2012,grade
Houston,8,A,A,6,2012,grade
Houston,9,A-,A-,7,2012,grade
Houston,8,A,A,8,2012,grade
Houston,8,A,A,9,2012,grade
Houston,12,B+,B+,10,2012,grade
Houston,20,B-,B-,11,2012,grade
Houston,3,A+,A+,12,2012,grade
Indianapolis,12,B+,B+,1,2012,grade
Indianapolis,8,A,A,2,2012,grade
Indianapolis,13,B+,B+,3,2012,grade
Indianapolis,6,A,A,6,2012,grade
Indianapolis,10,A-,A-,7,2012,grade
Indianapolis,5,A,A,8,2012,grade
Indianapolis,9,A-,A-,9,2012,grade
Indianapolis,3,A+,A+,10,2012,grade
Indianapolis,4,A+,A+,11,2012,grade
Indianapolis,7,A,A,12,2012,grade
Jacksonville,27,C-,C-,1,2012,grade
Jacksonville,27,C-,C-,2,2012,grade
Jacksonville,9,A-,A-,3,2012,grade
Jacksonville,10,A-,A-,6,2012,grade
Jacksonville,22,C+,C+,7,2012,grade
Jacksonville,9,A-,A-,8,2012,grade
Jacksonville,5,A,A,9,2012,grade
Jacksonville,9,A-,A-,10,2012,grade
Jacksonville,13,B+,B+,11,2012,grade
Jacksonville,8,A,A,12,2012,grade
Las Vegas,10,A-,A-,1,2012,grade
Las Vegas,14,B+,B+,2,2012,grade
Las Vegas,33,D,D,3,2012,grade
Las Vegas,7,A,A,6,2012,grade
Las Vegas,13,B+,B+,7,2012,grade
Las Vegas,7,A,A,8,2012,grade
Las Vegas,1,A+,A+,9,2012,grade
Las Vegas,13,B+,B+,10,2012,grade
Las Vegas,6,A,A,11,2012,grade
Las Vegas,6,A,A,12,2012,grade
Los Angeles,38,F,F,1,2012,grade
Los Angeles,36,D,D,2,2012,grade
Los Angeles,28,C-,C-,3,2012,grade
Los Angeles,37,F,F,6,2012,grade
Los Angeles,37,F,F,7,2012,grade
Los Angeles,36,D,D,8,2012,grade
Los Angeles,33,D,D,9,2012,grade
Los Angeles,37,F,F,10,2012,grade
Los Angeles,37,F,F,11,2012,grade
Los Angeles,29,C-,C-,12,2012,grade
Miami,25,C,C,1,2012,grade
Miami,29,C-,C-,2,2012,grade
Miami,23,C+,C+,3,2012,grade
Miami,13,B+,B+,6,2012,grade
Miami,17,B,B,7,2012,grade
Miami,14,B+,B+,8,2012,grade
Miami,13,B+,B+,9,2012,grade
Miami,11,A-,A-,10,2012,grade
Miami,14,B+,B+,11,2012,grade
Miami,17,B,B,12,2012,grade
Milwaukee,22,C+,C+,1,2012,grade
Milwaukee,18,B-,B-,2,2012,grade
Milwaukee,5,A,A,3,2012,grade
Milwaukee,23,C+,C+,6,2012,grade
Milwaukee,28,C-,C-,7,2012,grade
Milwaukee,17,B,B,8,2012,grade
Milwaukee,14,B+,B+,9,2012,grade
Milwaukee,18,B-,B-,10,2012,grade
Milwaukee,35,D,D,11,2012,grade
Milwaukee,32,D+,D+,12,2012,grade
Minneapolis,15,B,B,1,2012,grade
Minneapolis,13,B+,B+,2,2012,grade
Minneapolis,8,A,A,3,2012,grade
Minneapolis,20,B-,B-,6,2012,grade
Minneapolis,20,B-,B-,7,2012,grade
Minneapolis,21,C+,C+,8,2012,grade
Minneapolis,25,C,C,9,2012,grade
Minneapolis,21,C+,C+,10,2012,grade
Minneapolis,15,B,B,11,2012,grade
Minneapolis,14,B+,B+,12,2012,grade
Nashville,16,B,B,1,2012,grade
Nashville,5,A,A,2,2012,grade
Nashville,6,A,A,3,2012,grade
Nashville,9,A-,A-,6,2012,grade
Nashville,11,A-,A-,7,2012,grade
Nashville,14,B+,B+,8,2012,grade
Nashville,11,A-,A-,9,2012,grade
Nashville,2,A+,A+,10,2012,grade
Nashville,7,A,A,11,2012,grade
Nashville,12,B+,B+,12,2012,grade
New York,30,D+,D+,1,2012,grade
New York,37,F,F,2,2012,grade
New York,20,B-,B-,3,2012,grade
New York,30,D+,D+,6,2012,grade
New York,32,D+,D+,7,2012,grade
New York,34,D,D,8,2012,grade
New York,30,D+,D+,9,2012,grade
New York,28,C-,C-,10,2012,grade
New York,26,C,C,11,2012,grade
New York,24,C,C,12,2012,grade
Oklahoma City,1,A+,A+,1,2012,grade
Oklahoma City,1,A+,A+,2,2012,grade
Oklahoma City,1,A+,A+,3,2012,grade
Oklahoma City,1,A+,A+,6,2012,grade
Oklahoma City,1,A+,A+,7,2012,grade
Oklahoma City,1,A+,A+,8,2012,grade
Oklahoma City,6,A,A,9,2012,grade
Oklahoma City,1,A+,A+,10,2012,grade
Oklahoma City,2,A+,A+,11,2012,grade
Oklahoma City,1,A+,A+,12,2012,grade
Omaha,7,A,A,1,2012,grade
Omaha,20,B-,B-,2,2012,grade
Omaha,2,A+,A+,3,2012,grade
Omaha,26,C,C,6,2012,grade
Omaha,34,D,D,7,2012,grade
Omaha,20,B-,B-,8,2012,grade
Omaha,26,C,C,9,2012,grade
Omaha,20,B-,B-,10,2012,grade
Omaha,34,D,D,11,2012,grade
Omaha,20,B-,B-,12,2012,grade
Orlando,28,C-,C-,1,2012,grade
Orlando,23,C+,C+,2,2012,grade
Orlando,22,C+,C+,3,2012,grade
Orlando,28,C-,C-,6,2012,grade
Orlando,29,C-,C-,7,2012,grade
Orlando,28,C-,C-,8,2012,grade
Orlando,19,B-,B-,9,2012,grade
Orlando,30,D+,D+,10,2012,grade
Orlando,21,C+,C+,11,2012,grade
Orlando,30,D+,D+,12,2012,grade
Philadelphia,24,C,C,1,2012,grade
Philadelphia,24,C,C,2,2012,grade
Philadelphia,31,D+,D+,3,2012,grade
Philadelphia,24,C,C,6,2012,grade
Philadelphia,23,C+,C+,7,2012,grade
Philadelphia,31,D+,D+,8,2012,grade
Philadelphia,23,C+,C+,9,2012,grade
Philadelphia,24,C,C,10,2012,grade
Philadelphia,30,D+,D+,11,2012,grade
Philadelphia,18,B-,B-,12,2012,grade
Phoenix,21,C+,C+,1,2012,grade
Phoenix,15,B,B,2,2012,grade
Phoenix,29,C-,C-,3,2012,grade
Phoenix,18,B-,B-,6,2012,grade
Phoenix,21,C+,C+,7,2012,grade
Phoenix,13,B+,B+,8,2012,grade
Phoenix,16,B,B,9,2012,grade
Phoenix,22,C+,C+,10,2012,grade
Phoenix,18,B-,B-,11,2012,grade
Phoenix,25,C,C,12,2012,grade
Portland,18,B-,B-,1,2012,grade
Portland,7,A,A,2,2012,grade
Portland,40,F,F,3,2012,grade
Portland,19,B-,B-,6,2012,grade
Portland,24,C,C,7,2012,grade
Portland,26,C,C,8,2012,grade
Portland,24,C,C,9,2012,grade
Portland,16,B,B,10,2012,grade
Portland,11,A-,A-,11,2012,grade
Portland,15,B,B,12,2012,grade
Raleigh,17,B,B,1,2012,grade
Raleigh,10,A-,A-,2,2012,grade
Raleigh,26,C,C,3,2012,grade
Raleigh,17,B,B,6,2012,grade
Raleigh,25,C,C,7,2012,grade
Raleigh,29,C-,C-,8,2012,grade
Raleigh,20,B-,B-,9,2012,grade
Raleigh,7,A,A,10,2012,grade
Raleigh,22,C+,C+,11,2012,grade
Raleigh,9,A-,A-,12,2012,grade
Durham,17,B,B,1,2012,grade
Durham,10,A-,A-,2,2012,grade
Durham,26,C,C,3,2012,grade
Durham,17,B,B,6,2012,grade
Durham,25,C,C,7,2012,grade
Durham,29,C-,C-,8,2012,grade
Durham,20,B-,B-,9,2012,grade
Durham,7,A,A,10,2012,grade
Durham,22,C+,C+,11,2012,grade
Durham,9,A-,A-,12,2012,grade
Sacramento,40,F,F,1,2012,grade
